trend,january,february,march,april,may,june,july,august,september,october,november,december,,new_tags_taxonomy,shopstyle_taxonomy
pretty,301000,301000,301000,246000,246000,301000,301000,301000,301000,301000,301000,,,,women.womens_clothes
skinny jeans,165000,201000,165000,165000,246000,165000,201000,201000,246000,301000,301000,,,Denim and Jeans - Classification,women.womens_clothes.jeans.skinny_jeans
matcha,246000,301000,368000,301000,368000,301000,301000,301000,246000,301000,301000,,,Food - Superfood,women.womens_beauty
tank top,246000,368000,368000,450000,450000,450000,368000,246000,301000,301000,301000,,,Tops - Silhouette,women.womens_clothes.womens_tops.tank_tops
jumpsuits,246000,368000,368000,450000,368000,368000,301000,246000,246000,301000,301000,,,,women.womens_clothes.womens_pants
cream,301000,301000,301000,301000,301000,301000,301000,301000,301000,301000,301000,,,Trends - Color,women.womens_clothes
boutique,246000,301000,246000,246000,246000,246000,246000,246000,301000,301000,301000,,,,women.womens_clothes
plush,165000,165000,135000,135000,135000,165000,165000,165000,165000,201000,301000,,,,kids_and_baby.kids_toys.baby_infant_toys.soft_and_plush_toys
cameo,201000,246000,201000,201000,201000,201000,201000,201000,246000,246000,301000,,,Trends - Color,women.womens_clothes
sterling silver,201000,135000,135000,135000,110000,135000,135000,135000,201000,246000,301000,,,,women.womens_clothes.jewelry
womens underwear,135000,135000,110000,135000,110000,135000,165000,135000,135000,201000,301000,,,,women.womens_clothes
triathlon,301000,368000,368000,450000,550000,550000,550000,450000,368000,301000,301000,,,,women.womens_clothes
coal,165000,165000,165000,165000,135000,135000,135000,165000,201000,246000,301000,,,Trends - Color,women.womens_clothes.womens_accessories.hats
pixie cut,201000,246000,246000,246000,246000,246000,246000,246000,246000,246000,301000,,,Beauty - Hair Styles,women.womens_clothes
silk,301000,301000,301000,301000,301000,246000,246000,301000,368000,368000,301000,,,Trends - Fabric,women.womens_clothes
alma,246000,301000,246000,246000,246000,246000,246000,301000,301000,301000,301000,,,Events - Red Carpet Hashtags,women.handbags
lime,201000,246000,201000,246000,246000,246000,246000,246000,246000,246000,301000,,,Trends - Color,women.womens_clothes
blouse,246000,301000,301000,301000,301000,301000,301000,301000,368000,368000,301000,,,,women.womens_clothes.womens_tops
shea butter,246000,246000,201000,201000,201000,201000,201000,201000,201000,246000,301000,,,,women.womens_beauty
mittens,165000,60500,40500,40500,33100,40500,49500,60500,135000,301000,301000,,,Cold Weather Accessories - Gloves: Classification,women.womens_clothes.womens_accessories.gloves
matte lipstick,90500,90500,90500,90500,90500,110000,110000,135000,201000,201000,301000,,,Beauty - Color Cosmetics: Lips,women.womens_beauty.makeup.lip_products.lipstick
tech accessories,201000,201000,165000,201000,201000,165000,201000,201000,201000,201000,301000,,,,women.womens_clothes.womens_accessories.womens_tech_accessories
braids,165000,201000,246000,246000,246000,301000,301000,246000,246000,246000,301000,,,Beauty - Hair Styles,women.womens_clothes
wedges,550000,823000,1000000,1000000,673000,550000,450000,368000,368000,301000,301000,,,"Shoes - Classification,Shoes - Heels: Classification,Shoes - Wedge",women.womens_shoes.wedges
black diamond,246000,246000,246000,201000,201000,201000,201000,201000,246000,301000,301000,,,,women
acupuncture,301000,368000,301000,301000,301000,301000,301000,301000,368000,368000,301000,,,,
contour,165000,165000,165000,165000,165000,201000,201000,201000,246000,246000,301000,,,"Beauty - Contouring Techniques,Beauty - Cosmetic Products",women.womens_clothes.womens_intimates.bras
contact lenses,368000,368000,368000,301000,301000,368000,368000,368000,550000,301000,301000,,,,women.womens_beauty.skin_care
golf shoes,301000,450000,450000,450000,450000,450000,450000,301000,301000,301000,301000,,,Shoes - Athletic: Classification,men.mens_shoes.mens_shoes_athletic
coachella,301000,550000,5000000,450000,550000,301000,246000,201000,165000,165000,301000,,,,women.womens_clothes
diamond necklace,135000,90500,90500,90500,90500,90500,90500,90500,110000,201000,301000,,,Jewelry - Necklace: Material,women.womens_clothes.jewelry.diamond_jewelry.diamond_necklaces
cape,201000,201000,165000,165000,165000,165000,246000,368000,550000,368000,301000,,,Outerwear - Coats: Silhouette,women.womens_clothes
pearl earrings,201000,201000,201000,201000,165000,135000,135000,135000,165000,246000,301000,,,Jewelry - Earrings: Material,women.womens_clothes.jewelry.earrings
blush,201000,201000,201000,201000,201000,201000,201000,201000,246000,301000,301000,,,"Beauty - Cosmetic Products,Beauty - Color Cosmetics: Face",women.womens_clothes
bulgari,201000,201000,201000,201000,201000,201000,165000,201000,201000,201000,301000,,,,women
lavender,246000,301000,301000,368000,301000,301000,301000,246000,246000,246000,301000,,,Trends - Color,women.womens_clothes
hiking,201000,246000,246000,246000,246000,301000,301000,246000,246000,301000,301000,,,,men.mens_shoes.mens_shoes_athletic
mens dress shirts,90500,110000,110000,110000,90500,90500,110000,135000,165000,246000,301000,,,Mens - Dress Shirts: Classification,men.mens_clothes.mens_shirts.mens_dress_shirts
bikinis,450000,550000,550000,673000,673000,673000,450000,246000,246000,246000,301000,,,Swimwear - Silhouette,women.womens_clothes.swimsuits.two_piece_swimsuits
charm bracelet,110000,90500,90500,110000,74000,74000,74000,74000,110000,201000,301000,,,Jewelry - Bracelet: Classification,women.womens_clothes.jewelry.bracelets
wine decanter,49500,49500,40500,40500,40500,40500,40500,60500,60500,110000,301000,,,,living.dining.drinkware.carafes_decanters
magenta,301000,301000,301000,301000,301000,301000,301000,301000,368000,301000,301000,,,Trends - Color,women.womens_clothes
bow tie,165000,201000,201000,201000,165000,135000,165000,201000,246000,246000,301000,,,,men.mens_clothes.mens_ties
quartz,246000,246000,246000,246000,246000,246000,246000,246000,301000,301000,301000,,,,women.womens_clothes.jewelry
fur,165000,135000,135000,135000,110000,135000,135000,165000,301000,301000,301000,,,,women.womens_clothes.womens_outerwear.fur_and_shearling_coats
tennis shoes,201000,301000,246000,246000,246000,246000,301000,246000,246000,301000,301000,,,Shoes - Athletic: Classification,women.womens_shoes.womens_sneakers
lips,246000,246000,246000,246000,201000,201000,301000,301000,301000,301000,301000,,,,women.womens_beauty.makeup.lip_products
stainless steel,246000,301000,301000,246000,246000,246000,301000,246000,301000,368000,301000,,,,women.womens_clothes.jewelry
suspenders,201000,201000,201000,201000,201000,165000,165000,201000,450000,246000,301000,,,Mens - Accessories: Classification,women.womens_clothes.womens_intimates
maxi dress,550000,1000000,1220000,1220000,1000000,823000,550000,368000,368000,301000,301000,,,Dresses - Silhouette,women.womens_clothes.dresses
trench coat,201000,301000,246000,201000,165000,165000,201000,301000,450000,368000,301000,,,Outerwear - Coats: Silhouette,women.womens_clothes.womens_outerwear.raincoats_and_trenchcoats
body wash,165000,165000,165000,165000,246000,201000,201000,201000,246000,246000,301000,,,Beauty - Bath and Body Products,women.womens_beauty.bath_body.body_cleansers
street,201000,246000,246000,246000,246000,246000,246000,246000,246000,246000,301000,,,,women.womens_clothes
thermal underwear,201000,90500,40500,40500,40500,40500,60500,110000,246000,450000,368000,,,,women.womens_clothes
sterling silver earrings,201000,165000,165000,165000,110000,135000,135000,135000,165000,301000,368000,,,Jewelry - Earrings: Material,women.womens_clothes.jewelry.earrings
eyeshadow palette,165000,165000,165000,165000,165000,165000,165000,165000,246000,301000,368000,,,"Beauty - Cosmetic Products,Beauty - Color Cosmetics: Eyes",women.womens_beauty.makeup.eye_makeup.eye_shadow
alpaca,301000,301000,301000,301000,301000,301000,301000,301000,368000,368000,368000,,,Trends - Fabric,women.womens_clothes
western,301000,301000,301000,301000,301000,301000,301000,301000,368000,368000,368000,,,,women
cocktail dress,301000,301000,368000,301000,246000,301000,301000,368000,450000,550000,368000,,,Dresses - Occasion,women.womens_clothes.dresses.cocktail_dresses
sateen,246000,368000,450000,368000,301000,368000,301000,301000,368000,368000,368000,,,Trends - Fabric,women.womens_clothes
emerald,246000,301000,301000,301000,246000,301000,301000,301000,301000,368000,368000,,,,women.womens_clothes.jewelry
mens hoodies,74000,74000,49500,49500,40500,40500,74000,110000,201000,301000,368000,,,"Mens - Basic,Mens - Activewear: Classification",men.mens_clothes.mens_sweatshirts
smoothie,450000,550000,550000,673000,673000,550000,550000,450000,368000,368000,368000,,,Health Snacks,women.womens_clothes.swimsuits
laptop backpack,246000,301000,246000,246000,301000,301000,450000,301000,301000,301000,368000,,,,women.handbags.backpacks
tea tree oil,368000,368000,368000,368000,368000,368000,450000,450000,450000,368000,368000,,,Beauty - Beauty Ingredients,women.womens_beauty
bonus,301000,368000,301000,301000,301000,368000,301000,301000,301000,301000,368000,,,Trends - Promotion,women.womens_beauty
headbands,246000,301000,246000,246000,246000,246000,246000,246000,246000,301000,368000,,,Beauty - Hair Accessories,women.womens_beauty.hair_accessories
onyx,301000,368000,301000,301000,301000,301000,301000,301000,450000,368000,368000,,,,women
promo,301000,301000,368000,301000,301000,201000,301000,301000,368000,368000,368000,,,Trends - Promotion,kids_and_baby.kids_and_baby_clothing.boys.boys_sweatshirts
chia,450000,550000,550000,550000,450000,450000,450000,450000,450000,368000,368000,,,Food - Superfood,women.womens_beauty.skin_care
mens rings,246000,201000,165000,165000,165000,165000,165000,165000,201000,301000,368000,,,Mens - Jewelry: Classification,men.mens_clothes
the little mermaid,246000,301000,301000,246000,246000,246000,246000,246000,301000,368000,368000,,,,kids_and_baby.kids_and_baby_clothing.girls
black dress,246000,301000,246000,246000,201000,246000,246000,368000,550000,450000,368000,,,Dresses - Color,women.womens_clothes.dresses
fashion jewelry,246000,201000,165000,165000,135000,165000,201000,201000,246000,368000,368000,,,Jewelry - Classification,women.womens_clothes.jewelry
pumps,450000,673000,550000,550000,450000,368000,368000,368000,368000,368000,368000,,,"Shoes - Classification,Shoes - Evening: Classification,Shoes - Heels: Classification",women.womens_shoes.pumps
gold earrings,201000,201000,201000,201000,135000,165000,165000,165000,201000,301000,368000,,,Jewelry - Earrings: Material,women.womens_clothes.jewelry.earrings
rosacea,368000,450000,450000,450000,368000,368000,368000,368000,368000,368000,368000,,,,women.womens_beauty.skin_care
womens leggings,90500,74000,74000,60500,49500,49500,74000,110000,201000,301000,368000,,,Pants - Leggings,women.womens_clothes.womens_pants.leggings
pique,301000,301000,301000,368000,673000,301000,450000,450000,301000,368000,368000,,,Trends - Fabric,men.mens_clothes.mens_shirts.mens_polo_shirts
fingerless gloves,135000,74000,60500,60500,60500,60500,74000,110000,246000,301000,368000,,,Cold Weather Accessories - Gloves: Classification,women.womens_clothes.womens_accessories.gloves
argan oil,301000,368000,301000,301000,301000,301000,301000,301000,301000,368000,368000,,,Beauty - Beauty Ingredients,women.womens_beauty
boxer briefs,246000,246000,246000,301000,246000,301000,301000,246000,246000,368000,368000,,,Mens - Underwear,men.mens_clothes.mens_underwear_and_socks.mens_boxers
levis jeans,165000,165000,165000,165000,165000,165000,201000,246000,301000,368000,368000,,,,women.womens_clothes.jeans
rockabilly,450000,450000,450000,450000,368000,368000,368000,301000,368000,368000,368000,,,,women
messenger bags,301000,301000,301000,301000,301000,368000,450000,301000,246000,368000,368000,,,,men.mens_bags.mens_messenger_bags
garmin vivoactive,49500,110000,165000,165000,165000,201000,201000,201000,165000,301000,368000,,,,
weheartit,450000,550000,450000,550000,550000,550000,550000,550000,450000,368000,368000,,,,men.mens_clothes.mens_shirts.mens_tees_and_tshirts
flat iron,201000,201000,201000,201000,246000,201000,246000,201000,246000,368000,368000,,,,women.womens_beauty.hair_care.hair_styling_tools.blow_dryers_irons
flannel,135000,135000,110000,110000,110000,135000,201000,246000,368000,368000,368000,,,Trends - Fabric,men.mens_clothes.mens_shirts
swimsuit,450000,450000,450000,550000,550000,450000,368000,246000,301000,368000,368000,,,Swimwear - Silhouette,women.womens_clothes.swimsuits
skirt,301000,368000,368000,368000,301000,301000,301000,301000,450000,450000,368000,,,,women.womens_clothes.skirts
concealer,246000,246000,246000,246000,301000,246000,301000,246000,301000,301000,368000,,,"Beauty - Cosmetic Products,Beauty - Color Cosmetics: Face",women.womens_clothes
drivers,246000,301000,368000,368000,368000,368000,450000,368000,368000,368000,368000,,,Shoes - Flats: Classification,men.mens_shoes
lemon,301000,368000,368000,368000,301000,301000,301000,368000,368000,368000,368000,,,Trends - Color,women.womens_clothes
formal dresses,450000,550000,550000,450000,368000,368000,450000,550000,550000,550000,368000,,,,women.womens_clothes.dresses
azure,301000,368000,368000,368000,301000,301000,301000,368000,368000,368000,368000,,,Trends - Color,women.womens_clothes
cappuccino,301000,301000,301000,301000,301000,301000,301000,301000,368000,368000,368000,,,Coffee,living.furniture
mens outerwear,246000,201000,135000,110000,110000,110000,165000,201000,301000,368000,368000,,,Mens - Basic,men.mens_clothes.mens_outerwear
topaz,301000,301000,301000,301000,246000,246000,246000,246000,301000,301000,368000,,,,women.womens_clothes.jewelry
chevron,550000,550000,550000,450000,368000,450000,450000,450000,450000,368000,368000,,,Trends - Prints & Color,women.womens_clothes
laptop bags,550000,550000,450000,450000,450000,368000,246000,201000,201000,301000,368000,,,,women.handbags
pearl necklace,201000,201000,201000,301000,201000,201000,201000,201000,246000,301000,368000,,,Jewelry - Necklace: Material,women.womens_clothes.jewelry.necklaces
flannel shirt,90500,74000,60500,49500,40500,49500,74000,110000,246000,301000,368000,,,Tops - Material: Woven,men.mens_clothes.mens_shirts
tanks,301000,301000,246000,301000,246000,201000,246000,301000,301000,368000,368000,,,,women.womens_clothes.womens_tops.tank_tops
wedding bands,201000,165000,165000,165000,165000,165000,246000,301000,301000,368000,368000,,,,women.womens_clothes.jewelry.rings
maxi,301000,368000,368000,368000,368000,368000,301000,301000,301000,301000,368000,,,,women.womens_clothes.dresses
pencil sharpener,201000,201000,165000,165000,165000,246000,368000,246000,246000,301000,368000,,,Beauty - Tools,women.womens_beauty.beauty_tools.beauty_tools_sharpeners
burgundy,201000,201000,201000,201000,165000,201000,201000,246000,301000,301000,368000,,,Trends - Color,women
knee high boots,135000,90500,60500,60500,49500,60500,110000,201000,368000,450000,368000,,,Shoes - Boots: Classification,women.womens_shoes.boots
bandana,368000,450000,450000,450000,550000,550000,450000,368000,450000,368000,368000,,,,women.womens_clothes
tuxedo,301000,368000,368000,368000,246000,201000,246000,301000,301000,368000,368000,,,,women.womens_clothes
green tea,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,,,,women.womens_beauty
briefcase,246000,246000,201000,201000,201000,201000,246000,201000,246000,301000,368000,,,Mens - Bags: Classification,men.mens_bags.mens_business_bags
contour kit,135000,165000,135000,135000,165000,165000,165000,201000,201000,301000,368000,,,Beauty - Contouring Products,women.womens_beauty.makeup
sports bra,368000,368000,368000,368000,368000,450000,450000,368000,301000,368000,368000,,,Intimates - Bras: Silhouette,
fleece,201000,165000,135000,135000,110000,110000,135000,246000,450000,450000,450000,,,Trends - Fabric,men.mens_clothes
jersey,450000,550000,550000,550000,550000,550000,550000,550000,550000,550000,450000,,,Trends - Fabric,women.womens_clothes
moccasins,165000,165000,165000,165000,135000,135000,165000,201000,301000,450000,450000,,,Shoes - Flats: Classification,women.womens_shoes.flats
camel,368000,368000,368000,368000,368000,301000,301000,368000,450000,450000,450000,,,Trends - Color,women
latina,368000,368000,368000,368000,368000,368000,450000,450000,450000,550000,450000,,,,
teeth whitening,368000,368000,368000,368000,450000,673000,673000,550000,450000,450000,450000,,,Beauty - Treatments,women.womens_beauty
shabby chic,673000,673000,550000,550000,450000,450000,550000,550000,550000,550000,450000,,,Trends - Prints & Color,living
mens coats,110000,60500,27100,27100,18100,22200,49500,110000,246000,450000,450000,,,Mens - Basic,men.mens_clothes.mens_blazers_and_sport_coats
anniversary,301000,301000,368000,450000,368000,368000,368000,368000,368000,450000,450000,,,Home - Occasion,women.womens_clothes.jewelry.rings
jeggings,301000,301000,246000,246000,201000,201000,246000,301000,368000,450000,450000,,,"Denim and Jeans - Classification,Pants - Leggings",women.womens_clothes.jeans.skinny_jeans
tote bag,301000,368000,301000,301000,301000,301000,368000,301000,301000,368000,450000,,,Handbags - Classification,women.handbags.tote_bags
nuts,246000,246000,246000,301000,246000,246000,246000,246000,301000,368000,450000,,,Health Snacks,living.dining.dining_serving.serving_bowls
kale,550000,550000,550000,550000,550000,550000,550000,450000,550000,550000,450000,,,Food - Superfood,women.womens_clothes
sapphire,301000,368000,368000,368000,368000,368000,368000,368000,368000,450000,450000,,,,women.womens_clothes.jewelry
flip flops,450000,823000,823000,823000,823000,823000,673000,450000,368000,368000,450000,,,Shoes - Sandals: Classification,women.womens_shoes.sandals
duffle bag,246000,301000,246000,301000,301000,301000,301000,246000,301000,368000,450000,,,Luggage - Classification,living.luggage.travel_duffels_and_totes
military,368000,368000,301000,368000,301000,301000,301000,301000,450000,450000,450000,,,,women.womens_clothes
thanksgiving,165000,165000,135000,135000,135000,165000,246000,450000,1220000,11100000,450000,,,Home - Occasion,living.accents.artwork
suitcase,368000,450000,450000,550000,550000,550000,450000,368000,450000,550000,450000,,,Luggage - Classification,living.luggage.rolling_luggage
fringe,450000,550000,450000,823000,450000,550000,550000,550000,450000,450000,450000,,,,women.womens_clothes
bolero,450000,550000,550000,550000,450000,450000,450000,368000,450000,450000,450000,,,Outerwear - Jackets and Vests: Silhouette,women.womens_clothes
navy,368000,368000,368000,368000,368000,368000,368000,368000,368000,450000,450000,,,Trends - Color,women.womens_clothes
hair color,246000,301000,301000,301000,301000,301000,368000,368000,368000,368000,450000,,,Beauty - Hair Problems,women.womens_beauty.hair_care
maternity,673000,823000,673000,673000,550000,450000,673000,673000,823000,673000,450000,,,Maternity Hashtags,women.womens_clothes
thigh high boots,165000,135000,90500,90500,74000,90500,135000,246000,368000,450000,450000,,,"Shoes - Boots: Classification,Shoes - Tall Boots: Classification",women.womens_shoes.boots
combat boots,246000,201000,135000,135000,135000,165000,246000,246000,450000,450000,450000,,,"Shoes - Boots: Classification,Shoes - Tall Boots: Classification",women.womens_shoes.boots
style,673000,673000,550000,550000,550000,450000,450000,550000,450000,450000,450000,,,,women
peach,450000,450000,450000,450000,450000,550000,673000,450000,450000,450000,450000,,,Trends - Color,women.womens_clothes
jet ski,368000,368000,368000,450000,550000,673000,673000,450000,450000,450000,450000,,,,women.womens_clothes
laptop case,246000,246000,201000,201000,201000,246000,301000,301000,201000,301000,450000,,,,living.luggage.laptop_cases
pantyhose,368000,368000,368000,368000,301000,301000,301000,368000,450000,450000,450000,,,Intimates - Classification,women.womens_clothes.womens_intimates.hosiery
skirts,550000,673000,673000,673000,550000,550000,450000,450000,450000,550000,450000,,,,women.womens_clothes.skirts
red dress,301000,201000,201000,301000,165000,165000,201000,301000,450000,450000,450000,,,Dresses - Color,women.womens_clothes.dresses
pocket watch,368000,450000,368000,368000,368000,301000,301000,301000,450000,450000,450000,,,,men.mens_clothes.mens_watches_and_jewelry.mens_watches
bvlgari,301000,301000,301000,301000,301000,301000,301000,301000,368000,368000,450000,,,,women
amethyst,368000,301000,301000,301000,301000,368000,301000,301000,368000,368000,450000,,,,women.womens_clothes.jewelry
eyeliner,301000,301000,301000,301000,368000,301000,368000,301000,368000,450000,450000,,,"Beauty - Cosmetic Products,Beauty - Color Cosmetics: Eyes",women.womens_beauty.makeup.eye_makeup.eyeliner
snow globes,33100,27100,18100,18100,18100,22200,27100,40500,74000,246000,450000,,,Home - Home Decor,living
diamond ring,301000,301000,246000,246000,246000,246000,246000,246000,368000,368000,450000,,,Jewelry - Rings: Material & Color,women.womens_clothes.jewelry.diamond_jewelry.diamond_rings
contouring,201000,201000,201000,201000,201000,246000,246000,301000,301000,301000,450000,,,Beauty - Contouring Techniques,women.womens_clothes.womens_intimates.bras
mens t shirts,165000,246000,301000,368000,368000,368000,301000,246000,246000,368000,450000,,,"Mens - Activewear: Classification,Mens - Shirting and Tops: Classification,Mens - Tees & Polos: Silhouette",men.mens_clothes.mens_shirts.mens_tees_and_tshirts
summer,550000,673000,823000,1000000,1220000,1000000,673000,450000,450000,450000,450000,,,,women.womens_clothes
platinum,301000,368000,368000,368000,368000,368000,368000,368000,450000,450000,450000,,,,women.womens_clothes.jewelry
thong,301000,301000,301000,301000,301000,301000,301000,301000,368000,368000,450000,,,Intimates - Panties: Silhouette,women.womens_clothes.womens_intimates.thongs
violet,301000,450000,368000,368000,246000,246000,301000,450000,450000,450000,450000,,,Trends - Color,women.womens_clothes
rose gold,165000,135000,135000,165000,135000,165000,165000,368000,301000,368000,450000,,,,women.womens_clothes.jewelry
hunter rain boots,165000,165000,90500,60500,60500,90500,135000,201000,368000,450000,450000,,,,women.womens_shoes.boots
plaid,201000,201000,165000,165000,165000,165000,201000,368000,450000,450000,450000,,,,men.mens_clothes
camouflage,368000,450000,368000,368000,368000,301000,368000,368000,550000,550000,450000,,,Trends - Prints & Color,women.womens_clothes
camera bag,246000,301000,301000,301000,301000,301000,246000,246000,246000,301000,450000,,,Handbags - Classification,women.handbags
strawberry,368000,550000,550000,550000,450000,450000,368000,368000,450000,450000,450000,,,,living.dining
blanket scarf,49500,22200,8100,5400,5400,9900,27100,74000,201000,301000,450000,,,Cold Weather Accessories - Scarves: Classification,women.womens_clothes.womens_accessories.scarves
plus size dresses,673000,823000,823000,673000,550000,550000,550000,550000,450000,450000,450000,,,Clothing - Plus Size,women.womens_clothes.plus_sizes.plus_size_dresses
inspiration,301000,301000,301000,301000,301000,246000,301000,301000,368000,450000,450000,,,,women.womens_clothes
look,368000,368000,450000,368000,368000,368000,368000,450000,550000,550000,450000,,,,women.womens_clothes
bedspreads,823000,1000000,823000,673000,550000,550000,450000,450000,550000,550000,450000,,,,living.bedding
trainers,246000,301000,301000,301000,246000,246000,246000,246000,450000,450000,450000,,,Shoes - Fashion Sneakers: Classification,men.mens_shoes.mens_sneakers
oscar,1830000,450000,368000,368000,450000,368000,368000,368000,368000,368000,450000,,,,
corset,673000,673000,550000,550000,450000,450000,450000,550000,823000,550000,550000,,,Intimates - Classification,women.womens_clothes
hair straightener,246000,246000,246000,246000,246000,201000,201000,246000,301000,450000,550000,,,Beauty - Hair Tools,women.womens_beauty.hair_care.hair_styling_tools.blow_dryers_irons
leather,450000,450000,368000,368000,368000,368000,368000,368000,550000,550000,550000,,,,women
over the knee boots,135000,90500,49500,49500,40500,49500,110000,246000,450000,550000,550000,,,"Shoes - Boots: Classification,Shoes - Tall Boots: Classification",women.womens_shoes.boots
cufflinks,368000,301000,301000,368000,368000,301000,301000,301000,301000,450000,550000,,,"Gifting,Mens - Jewelry: Classification,Mens - Accessories: Classification",men.mens_clothes.mens_watches_and_jewelry.mens_cuff_links
handbag,301000,368000,368000,368000,301000,301000,368000,301000,368000,550000,550000,,,Gifting,women.handbags
spring,673000,1500000,1000000,673000,550000,450000,550000,673000,673000,673000,550000,,,,women.womens_clothes.jewelry.necklaces
swimwear,823000,1220000,1000000,1220000,1500000,1220000,823000,550000,450000,550000,550000,,,,women.womens_clothes.swimsuits
ties,201000,201000,246000,246000,246000,201000,201000,201000,301000,450000,550000,,,,men.mens_clothes.mens_ties
tights,301000,301000,246000,246000,201000,201000,246000,368000,673000,673000,550000,,,Intimates - Classification,women.womens_clothes.womens_intimates.hosiery
crop top,368000,450000,550000,550000,550000,550000,450000,368000,450000,450000,550000,,,Tops - Silhouette,women.womens_clothes.womens_tops
duck boots,110000,60500,22200,14800,14800,27100,49500,90500,246000,550000,550000,,,Mens - Boots,women.womens_shoes.boots
ombre,450000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,,,Trends - Prints & Color,women.womens_clothes
tangerine,450000,450000,450000,368000,368000,450000,450000,368000,450000,550000,550000,,,Trends - Color,living
curling iron,201000,246000,246000,246000,246000,201000,201000,201000,246000,368000,550000,,,Beauty - Hair Tools,women.womens_beauty.hair_care.hair_styling_tools.blow_dryers_irons
engagement ring,368000,301000,301000,301000,246000,301000,301000,301000,368000,450000,550000,,,,women.womens_clothes.jewelry.rings
neon,550000,550000,550000,550000,450000,450000,550000,550000,550000,550000,550000,,,Trends - Color,women.womens_clothes
cowboy boots,368000,450000,301000,301000,301000,368000,368000,368000,550000,550000,550000,,,"Shoes - Boots: Classification,Shoes - Tall Boots: Classification",women.womens_shoes.boots
office shoes,368000,368000,450000,368000,450000,450000,550000,450000,450000,550000,550000,,,,women.womens_shoes
grey,550000,450000,368000,368000,1500000,1000000,673000,673000,550000,550000,550000,,,Trends - Color,women.womens_clothes
mens sweaters,49500,27100,14800,14800,12100,18100,27100,60500,135000,368000,550000,,,Mens - Basic,men.mens_clothes.mens_sweaters
espresso,550000,673000,550000,550000,550000,550000,450000,550000,550000,673000,550000,,,Coffee,living.furniture
iphone 4s case,1000000,1220000,823000,673000,673000,673000,673000,550000,550000,550000,550000,,,Tech Accessories - Classification,women.womens_clothes.womens_accessories.womens_tech_accessories
tunic,301000,301000,301000,246000,201000,201000,246000,301000,550000,673000,550000,,,Tops - Silhouette,women.womens_clothes.womens_tops.tunic_tops
messenger bag,450000,450000,450000,450000,368000,550000,673000,450000,450000,550000,550000,,,Handbags - Classification,men.mens_bags.mens_messenger_bags
hair extensions,673000,673000,550000,550000,550000,550000,550000,550000,550000,550000,550000,,,Beauty - Hair Accessories,women.womens_beauty.hair_accessories
fedora,550000,550000,550000,550000,450000,450000,550000,450000,550000,550000,550000,,,,women.womens_clothes.womens_accessories.hats
green,450000,550000,450000,450000,450000,450000,450000,550000,550000,550000,550000,,,Trends - Color,women
studs,60500,74000,60500,60500,60500,60500,60500,60500,135000,450000,550000,,,,women.womens_clothes.jewelry.earrings
yellow,368000,450000,450000,450000,450000,450000,550000,450000,550000,550000,550000,,,Trends - Color,women
beauty blender,301000,368000,301000,301000,301000,368000,368000,368000,450000,450000,550000,,,"Beauty - Contouring Products,Beauty - Tools",women.womens_beauty
bomber jacket,135000,201000,165000,165000,135000,135000,201000,246000,450000,550000,550000,,,Outerwear - Jackets and Vests: Silhouette,men.mens_clothes.mens_outerwear.mens_jackets
bridesmaid dresses,1000000,1000000,823000,823000,823000,823000,823000,823000,823000,673000,550000,,,,women.womens_clothes.dresses
pomegranate,301000,301000,301000,301000,301000,301000,301000,301000,450000,550000,550000,,,,women.womens_beauty.bath_body
castor oil,368000,450000,368000,368000,368000,368000,450000,368000,450000,450000,550000,,,Beauty - Beauty Ingredients,women.womens_beauty.hair_care
lip balm,246000,246000,201000,201000,201000,201000,201000,246000,301000,450000,550000,,,"Beauty - Cosmetic Products,Beauty - Color Cosmetics: Lips,Beauty - Lip Treatments",women.womens_beauty.makeup.lip_products
kimono,550000,673000,823000,1000000,823000,823000,823000,673000,673000,673000,550000,,,Outerwear - Jackets and Vests: Silhouette,women.womens_clothes
ear buds,165000,165000,135000,135000,135000,165000,201000,165000,165000,301000,550000,,,Tech Accessories - Classification,women.womens_clothes.jewelry
chelsea boots,246000,246000,165000,135000,110000,135000,246000,450000,673000,550000,550000,,,Shoes - Boots: Classification,women.womens_shoes.boots
sweater dress,110000,49500,27100,22200,18100,33100,74000,165000,368000,550000,550000,,,,women.womens_clothes.dresses
store,450000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,,,,kids_and_baby
ruby,550000,673000,550000,550000,550000,550000,550000,450000,550000,550000,550000,,,,women.womens_clothes.jewelry
ice watch,301000,301000,301000,301000,368000,368000,368000,301000,301000,450000,550000,,,,women.womens_clothes.jewelry.watches
fragrance,368000,301000,246000,301000,246000,246000,246000,246000,301000,550000,550000,,,"Gifting,Beauty - Fragrance",women.womens_beauty.perfume
turquoise,450000,450000,450000,550000,450000,550000,450000,450000,450000,450000,550000,,,Trends - Color,women.womens_clothes
mens jackets,165000,165000,110000,110000,90500,90500,110000,201000,368000,550000,550000,,,Mens - Basic,men.mens_clothes.mens_outerwear.mens_jackets
avocado,550000,673000,673000,673000,550000,550000,550000,550000,550000,550000,550000,,,,women.womens_beauty
iphone 4 case,673000,673000,673000,550000,673000,550000,550000,450000,450000,450000,550000,,,Tech Accessories - Classification,women.womens_clothes.womens_accessories.womens_tech_accessories
