,trend,total_volume,social_buzz,retail_distribution
4274,sulfate free shampoo,1240500.0,21,1238
4275,leather pants,926000.0,127,4305
4276,blue diamond,968500.0,136,4977
4277,mens cargo pants,701500.0,0,852
4278,hawaiian shirt,1339500.0,26,348
4279,gaucho,1260000.0,126,321
4280,plaid scarf,420200.0,22,418
4281,azalea,1808000.0,633,1547
4282,leather belt,875500.0,120,9986
4283,running shorts,1535500.0,19,1364
4284,diamond jewelry,570700.0,87,72233
4285,colorful,1007500.0,4477,442491
4286,kitesurf,1632000.0,1,2
4287,goji berries,1360000.0,34,228
4288,leather leggings,724300.0,69,784
4289,green dress,1143000.0,80,9852
4290,coconut milk,1385000.0,270,565
4291,superfood,747500.0,530,19
4292,travel bags,1246000.0,53,1734
4293,trapper hat,350100.0,6,98
4294,infinity necklace,499700.0,9,1233
4295,wedge sneakers,1301000.0,8,461
4296,farro,1410000.0,67,12
4297,shower gel,758500.0,82,2723
4298,grammys,2135300.0,89,13
4299,perm,1171000.0,82,297
4300,decorative accessories,1475000.0,19,2426
4301,leather skirt,788000.0,152,5190
4302,heeled sandals,1167900.0,147,69222
4303,briefs,1096000.0,313,3917
4304,nail stickers,1018000.0,7,74
4305,t shirt dress,1411000.0,139,1242
4306,evening primrose oil,1490000.0,6,338
4307,running socks,839500.0,3,224
4308,cargo shorts,1905500.0,14,2487
4309,utility,1470000.0,445,2781
4310,puffer vest,436600.0,11,296
4311,sheer,1137500.0,1877,782
4312,mens fashion,886000.0,94,843214
4313,minimal,1073500.0,1960,13488
4314,lasik eye surgery,902600.0,1,3
4315,kale chips,1742000.0,37,18
4316,mini skirt,1054000.0,337,17717
4317,eucalyptus oil,988000.0,5,339
4318,waterproof jacket,965000.0,24,1432
4319,stackable rings,447000.0,49,2525
4320,leather bag,1004500.0,403,106858
4321,velvet dress,482700.0,27,2281
4322,mens boxer briefs,527900.0,0,2407
4323,tie bar,866500.0,42,1699
4324,helena christensen,1140500.0,30,1
4325,french braid,1057000.0,84,123
4326,lilac,1406000.0,510,4198
4327,cycling shoes,1560000.0,2,383
4328,costume jewelry,774500.0,7,267
4329,waxing,1310000.0,146,442
4330,fishtail braid,1201500.0,153,17
4331,white gold,905500.0,687,68806
4332,face moisturizer,1337600.0,24,2240
4333,vintage watch,1196000.0,26,1018
4334,asus zenwatch,1251000.0,0,0
4335,shift dress,1315500.0,511,13148
4336,weekender,1082000.0,304,10047
4337,mens cowboy boots,638100.0,2,799
4338,seaweed,1210000.0,140,741
4339,platform shoes,1176500.0,58,17176
4340,mens walking shoes,1132500.0,0,3038
4341,burlap,1470000.0,136,1224
4342,maternity tops,925500.0,6,2344
4343,dance shoes,1296000.0,0,1263
4344,monokini,2663000.0,138,199
4345,maternity pants,826500.0,48,615
4346,ascot,1481500.0,46,398
4347,scuba,1335000.0,202,4371
4348,cubic zirconia,772000.0,35,15382
4349,mens sweater,321600.0,1,31685
4350,black leggings,693600.0,66,3572
4351,boxer shorts,829000.0,5,507
4352,nose ring,1034500.0,16,55
4353,midi dress,1390000.0,674,10846
4354,navy blue,1076500.0,274,18280
4355,cloak,980000.0,61,108
4356,duffle coat,644300.0,5,194
4357,women underwear,802500.0,0,5981
4358,seasonal decor,487400.0,4,4595
4359,stripes,1210000.0,4699,76729
4360,eyebrow kit,853000.0,15,104
4361,wedge boots,823000.0,5,2998
4362,bow ties,1210000.0,55,2174
4363,dress shirts,1345000.0,57,11182
4364,mens trainers,1279500.0,0,3432
4365,tweed,1214500.0,325,7417
4366,faux fur coat,543800.0,46,1199
4367,wakeboard,2539000.0,2,15
4368,loafer,924500.0,1077,20393
4369,mens lounge pants,357500.0,0,1274
4370,eau de parfum,870500.0,164,6968
4371,coconut water,2232000.0,140,1153
4372,cross training shoes,1440000.0,5,251
4373,makeup brush,844500.0,68,9411
4374,beret,1220500.0,36,176
4375,palazzo pants,2819000.0,44,738
4376,plaid shirt,898500.0,156,9287
4377,bandage dress,1310000.0,35,1087
4378,denim shirt,1301000.0,291,5554
4379,polarized sunglasses,2066000.0,21,4620
4380,nair,1101500.0,25,60
4381,bob haircut,747500.0,55,1
4382,mens necklace,750500.0,0,2633
4383,khaki pants,1430500.0,7,19868
4384,weekender bag,947000.0,29,2191
4385,sport shoes,1207000.0,4,4579
4386,athletic shoes,1661000.0,13,8006
4387,tom ford sunglasses,1326500.0,11,859
4388,light blue,944000.0,377,14760
4389,silk scarf,800000.0,177,6346
4390,high waisted jeans,1360000.0,100,4999
4391,sombre,1349000.0,44,20
4392,sublimation,1651000.0,16,122
4393,corduroy pants,625500.0,3,792
4394,nautical,1640000.0,873,635
4395,linen,1555000.0,2369,8441
4396,bangs,1215500.0,591,516
4397,wellington boots,986500.0,8,341
4398,earring,1123500.0,4574,94361
4399,wetsuit,1809000.0,137,90
4400,rose gold earrings,637000.0,21,6399
4401,mens sandals,1629500.0,1,7894
4402,gold bracelet,914000.0,110,11259
4403,moisturizer,1226000.0,1049,7260
4404,lg g,1007000.0,0,200
4405,dungarees,1290500.0,157,526
4406,garter belt,1262000.0,16,481
4407,conditioner,1162500.0,765,5329
4408,long dress,1445000.0,277,38523
4409,puffer jacket,547500.0,14,2189
4410,bowling shoes,1290500.0,4,27
4411,henley,1132000.0,278,2602
4412,lounge pants,586500.0,59,2140
4413,mens dress socks,529100.0,0,1055
4414,wedge booties,710700.0,7,355
4415,wraps,1460000.0,506,21054
4416,rose gold ring,657000.0,62,7065
4417,sunscreen,2926000.0,630,1992
4418,prints,1485500.0,3283,187393
4419,sweater vest,648200.0,15,806
4420,cami,1290500.0,496,3790
4421,lame,1575000.0,95,9141
4422,sequin skirt,383300.0,24,1461
4423,sport coat,1317000.0,59,22304
4424,sapphire ring,753000.0,71,5581
4425,hiking shoes,1676000.0,12,1282
4426,harem pants,1839000.0,26,431
4427,mens bracelet,927500.0,1,17502
4428,lip plumper,1434000.0,40,149
4429,leather bracelet,1059500.0,99,4695
4430,bronzer,1221000.0,1196,1132
4431,face wash,1237000.0,92,1095
4432,wool coat,674300.0,36,3858
4433,anorak,1239500.0,127,768
4434,matte,1162500.0,2720,18813
4435,coin purse,1079000.0,51,2433
4436,mauve,1285000.0,234,2229
4437,lavender oil,1485000.0,53,2373
4438,walking shoes,1616000.0,11,8182
4439,maxi skirt,3029000.0,324,2959
4440,oscars,5067500.0,317,4424
4441,stretch marks,1500000.0,90,639
4442,false eyelashes,1217500.0,50,95
4443,eye cream,2066500.0,171,1968
4444,stiletto,1365000.0,351,15233
4445,almond milk,1755000.0,203,159
4446,pocket square,977000.0,307,1461
4447,maternity dress,1701000.0,207,448
4448,one piece swimsuit,1954000.0,235,10185
4449,eau de toilette,914000.0,88,3539
4450,aviator sunglasses,1668000.0,104,3549
4451,spf,1665000.0,750,2128
4452,gold dress,934500.0,45,2243
4453,amaranth,1791000.0,18,156
4454,leopard print,1022000.0,218,4737
4455,skater skirt,1290500.0,88,436
4456,sexy underwear,1118000.0,3,35
4457,mustard,1285000.0,443,1449
4458,rock and roll hall of fame,1168000.0,125,2
4459,mens tshirts,572500.0,3,78441
4460,eye mask,1536000.0,56,230
4461,tankini,5618000.0,299,2623
4462,motorcycle boots,1755000.0,7,374
4463,ear cuff,1767000.0,87,1411
4464,gold watch,1270500.0,74,20513
4465,jockstrap,1610000.0,4,18
4466,gown,1500000.0,4594,19664
4467,mens sneakers,1134000.0,0,32987
4468,ripped jeans,1505500.0,414,1915
4469,cashmere sweater,647200.0,76,7356
4470,cmt,2265000.0,50,2
4471,plum,1923000.0,583,4300
4472,trunks,1791000.0,1230,411
4473,anniversary gifts,2274000.0,3,147
4474,garment bag,1635000.0,13,222
4475,contour palette,1008500.0,105,469
4476,plus size leggings,1055000.0,5,585
4477,rock n roll,1785000.0,293,890
4478,activated charcoal,1815000.0,41,388
4479,gilet,1361000.0,97,237
4480,floral,1707000.0,10017,75612
4481,shopper,1785000.0,920,2369
4482,hand cream,787000.0,160,5411
4483,oxford shoes,1294500.0,42,6553
4484,bathing suit,1490500.0,178,56827
4485,wet brush,1087500.0,12,307
4486,want,1798000.0,23174,18030
4487,gold ring,1375000.0,285,8785
4488,mens earrings,1270500.0,0,325
4489,rubber boots,1302500.0,8,23253
4490,push up bra,1390000.0,30,1796
4491,wellies,1396500.0,81,120
4492,platform,1851000.0,2055,17176
4493,compression shorts,1580000.0,5,140
4494,satchel,1575000.0,674,14741
4495,festival,2709000.0,13323,3535
4496,serum,1746000.0,1149,6186
4497,birkenstocks,2361000.0,84,566
4498,corduroy,1189000.0,114,1654
4499,mens vest,821000.0,0,455
4500,pack,1420000.0,5318,23305
4501,eyebrow threading,1671000.0,1,5
4502,mens pajama pants,377900.0,0,1563
4503,faux fur,745400.0,244,2498
4504,crossbody bag,1861000.0,413,18910
4505,sterling silver bracelet,822000.0,8,13222
4506,pebble smartwatch,1054500.0,1,7
4507,chartreuse,1515000.0,89,706
4508,body lotion,1134000.0,153,5447
4509,mesh,1887000.0,1594,37274
4510,cannes,4060000.0,490,116
4511,evening gowns,2061000.0,23,11611
4512,jean,1635000.0,2688,65938
4513,ootd,2139000.0,11216,11
4514,polyester,1887000.0,192,316498
4515,fleece jacket,930200.0,23,1453
4516,promotion,1635000.0,668,7862
4517,trousers,2043000.0,1346,130121
4518,shirt dress,1868000.0,651,8386
4519,acai,2103000.0,197,559
4520,aztec,1610000.0,253,1793
4521,makeup palette,661300.0,96,4029
4522,raincoat,1944500.0,211,4342
4523,tulle skirt,1267000.0,134,1142
4524,tunics,1283500.0,915,8897
4525,chinos,1665000.0,329,19868
4526,ballet shoes,1596000.0,22,7410
4527,highlighter,1352500.0,899,2505
4528,urbanears,1007000.0,12,4
4529,caftan,2064000.0,223,2280
4530,leather boots,1169500.0,138,53247
4531,masks,1733000.0,622,2546
4532,fur coat,968000.0,118,5958
4533,jingle ball,308300.0,1,11
4534,tablet case,903500.0,3,118
4535,thermal,987000.0,193,1847
4536,monsters university,1923000.0,5,92
4537,skate shoes,1415000.0,15,515
4538,bucket hat,2865000.0,64,810
4539,sony smartwatch,1117500.0,0,1
4540,shoulder bag,1495000.0,451,44535
4541,pencil skirt,1923000.0,419,8568
4542,satin,1550000.0,1136,41742
4543,dandruff,1395000.0,94,345
4544,romper,3566000.0,2063,6673
4545,canary,1270500.0,121,335
4546,creepers,1791000.0,109,201
4547,long sleeve dress,1135500.0,136,30496
4548,soccer shoes,2067000.0,1,471
4549,mens running shoes,1470000.0,0,6391
4550,plus size tops,2094000.0,15,12063
4551,sequin top,538700.0,29,4630
4552,tie-dye,2528000.0,80,5594
4553,carry-on,1550000.0,25,1486
4554,girls underwear,1341500.0,0,1189
4555,boho,2445000.0,4488,7147
4556,polo shirt,2325000.0,99,17785
4557,mens pants,1231000.0,3,62900
4558,resort,2103000.0,2162,4671
4559,grey hair,1154000.0,64,1457
4560,skater dress,2001000.0,218,2486
4561,automatic watch,1536000.0,16,8054
4562,jojoba oil,1995000.0,29,3291
4563,slip,2265000.0,2302,20393
4564,rose gold watch,981000.0,30,6356
4565,denim jacket,1980000.0,851,1217
4566,sterling silver necklace,872000.0,11,29979
4567,casual shoes,12790000.0,28,16502
4568,lace dress,2112000.0,1331,32378
4569,mousse,1641000.0,514,512
4570,cma,2311000.0,37,4
4571,wristlet,1209000.0,99,3580
4572,nursing bra,2301000.0,60,849
4573,tote,1995000.0,2549,23017
4574,belk bowl,241650.0,2,0
4575,wedding shoes,3180000.0,297,148
4576,snood,1042500.0,5,230
4577,mens joggers,1014000.0,2,3460
4578,blackheads,1621000.0,155,402
4579,marsala,2212000.0,120,22
4580,beige,2301000.0,895,126873
4581,petite,1707000.0,1195,30754
4582,leather backpack,1818000.0,131,3571
4583,mens suits,2893000.0,0,14201
4584,baseball cap,1910000.0,197,2346
4585,obsidian,2301000.0,85,112
4586,phone case,1277500.0,146,1112
4587,graphic,1280500.0,2634,22643
4588,duffel bag,1511000.0,36,2670
4589,chemise,1851000.0,209,3317
4590,boys underwear,1325000.0,0,899
4591,microdermabrasion,1959000.0,34,297
4592,dark chocolate,1411500.0,371,741
4593,chestnut,1241500.0,119,1303
4594,spandex,2067000.0,209,167261
4595,shawl,1433000.0,178,831
4596,aromatherapy,1431000.0,130,994
4597,latte,1863000.0,638,1412
4598,baguette,7848000.0,175,4058
4599,windbreaker,1563500.0,113,696
4600,cellulite,3102000.0,175,347
4601,peppermint oil,1868000.0,20,994
4602,pajama,827500.0,507,5072
4603,cyber monday,5805000.0,5,11
4604,bath salts,1297500.0,77,577
4605,blow dryer,1336500.0,69,2585
4606,camisole,1531000.0,178,3790
4607,diamond stud earrings,913000.0,28,6234
4608,dress shoes,1869000.0,214,1840
4609,tbt,3001000.0,5062,41
4610,peridot,2111000.0,39,2617
4611,mahogany,1701000.0,138,5483
4612,shapewear,2274000.0,57,5227
4613,lob,1586000.0,302,6
4614,mens leather jacket,1066500.0,0,4665
4615,clip on earrings,1278000.0,22,4233
4616,prom dress,3693000.0,930,2192
4617,denim,2067000.0,12805,65938
4618,choker,2220000.0,1779,2384
4619,cashmere scarf,572800.0,34,2821
4620,hair clips,2139000.0,37,984
4621,dry shampoo,2139000.0,481,649
4622,cacao,2103000.0,129,61
4623,fall,3438000.0,9897,20459
4624,nu skin,2926000.0,0,55
4625,mens sweatshirts,715100.0,4,19690
4626,bodysuit,1933000.0,1112,3227
4627,party dress,1778000.0,195,4293
4628,millet,2681000.0,1304,95
4629,silver bracelet,1642000.0,75,9584
4630,ski pants,979300.0,3,171
4631,mens jacket,1225500.0,9,27368
4632,leather gloves,1149000.0,19,1086
4633,curly hair,1872000.0,413,1626
4634,lip gloss,1612000.0,464,2125
4635,follow,1979000.0,15776,8174
4636,pomade,2265000.0,427,329
4637,laptop sleeve,2029000.0,15,579
4638,boat shoes,2453000.0,46,1502
4639,passport holder,1908000.0,19,152
4640,tweezers,2175000.0,65,589
4641,moroccan oil,2661000.0,28,768
4642,girls leggings,1336100.0,1,7341
4643,vests,1247000.0,106,5596
4644,charcoal,2400000.0,672,13677
4645,clogs,2781000.0,121,8850
4646,stud earrings,1512000.0,220,27172
4647,plus size swimwear,6358000.0,55,2351
4648,burnout,2591000.0,167,3338
4649,mens boxers,1053000.0,0,5824
4650,white dress,3889000.0,829,33080
4651,bodycon dress,2626000.0,232,7041
4652,eyeshadow,1667000.0,1884,1526
4653,kids books,1493000.0,21,1622
4654,bubble bath,1182000.0,81,889
4655,toner,2926000.0,211,503
4656,coupon,2581000.0,2319,21
4657,faux fur vest,757900.0,10,587
4658,crepe,2391000.0,619,72511
4659,eyelash extensions,2076000.0,69,73
4660,goth,2121000.0,247,76
4661,swim,3921000.0,2701,13427
4662,melaleuca,3201000.0,2,18
4663,turtleneck,1244000.0,283,4392
4664,lotion,1722000.0,656,5447
4665,mink,2157000.0,245,3781
4666,card holder,1722000.0,95,760
4667,cargo pants,2591000.0,52,852
4668,little black dress,2293000.0,239,1676
4669,suede,2410000.0,4125,69324
4670,tribal,3256000.0,1914,7525
4671,glossybox,2581000.0,36,0
4672,ponchos,1570000.0,399,4359
4673,mens sweatpants,883600.0,0,2869
4674,wine glass,1009500.0,60,2089
4675,hair brush,1667000.0,34,2174
4676,brown,2581000.0,4402,168446
4677,pea coat,1046500.0,16,195
4678,boyfriend jeans,2881000.0,429,2343
4679,mens shorts,3828000.0,10,24885
4680,patchwork,3036000.0,441,2553
4681,rouge,2436000.0,651,2717
4682,hosiery,1017000.0,60,3038
4683,deal,2726000.0,3691,367
4684,golden globes,488900.0,114,73
4685,wool,2180000.0,1438,4188
4686,ivory,2671000.0,1240,37374
4687,felt,2501000.0,1658,1152
4688,bobs,2445000.0,172,1583
4689,fringe boots,1083300.0,26,2304
4690,gold necklace,1462000.0,145,19138
4691,celine bag,2004000.0,45,1394
4692,cotton,2481000.0,4769,410170
4693,hoop earrings,1248000.0,191,15565
4694,gray,3146000.0,1925,101564
4695,lace,2761000.0,9810,15673
4696,bump,1782000.0,1414,1276
4697,statement necklace,2148000.0,317,5088
4698,nightgown,1378000.0,27,1495
4699,digital watch,1983000.0,8,2428
4700,hair removal,2364000.0,124,2122
4701,hairspray,2626000.0,236,870
4702,figurines,1723000.0,102,2458
4703,bb cream,3036000.0,136,713
4704,diaper bags,4391000.0,26,2033
4705,coach handbags,2186000.0,3,490
4706,fanny pack,4038000.0,50,461
4707,mens ties,2044000.0,1,16857
4708,riding boots,1823000.0,26,3147
4709,save,2601000.0,7578,9177
4710,% off,2881000.0,0,54462
4711,rucksÌ_cke,2150000.0,0,0
4712,sequin dress,1139500.0,93,11592
4713,plus size lingerie,2658000.0,32,907
4714,olive oil,2771000.0,552,2848
4715,laser hair removal,3091000.0,53,49
4716,bralette,2509000.0,815,1953
4717,overalls,3525000.0,910,800
4718,yogurt,3914000.0,1439,137
4719,boxers,2176000.0,1045,5824
4720,outerwear,1665000.0,512,36218
4721,tiara,2993000.0,223,1964
4722,fur vest,1065900.0,29,958
4723,totes,2320000.0,366,23017
4724,instyler,2044000.0,685,33
4725,pretty,3201000.0,13586,19517
4726,skinny jeans,2357000.0,1042,21759
4727,matcha,3335000.0,403,17
4728,tank top,3849000.0,513,27273
4729,jumpsuits,3563000.0,2275,8148
4730,cream,3311000.0,7276,29941
4731,boutique,2926000.0,3872,8207
4732,plush,1897000.0,407,1786
4733,cameo,2446000.0,317,1127
4734,sterling silver,1869000.0,497,91230
4735,womens underwear,1697000.0,6,5981
4736,triathlon,4557000.0,160,81
4737,coal,1978000.0,142,91
4738,pixie cut,2716000.0,49,18
4739,silk,3335000.0,3972,143640
4740,alma,2981000.0,147,282
4741,lime,2671000.0,1262,3166
4742,blouse,3390000.0,2403,33783
4743,shea butter,2446000.0,167,6919
4744,mittens,1227100.0,68,413
4745,matte lipstick,1510500.0,472,588
4746,tech accessories,2239000.0,43,5643
4747,braids,2745000.0,3045,6458
4748,wedges,6384000.0,1535,26135
4749,black diamond,2591000.0,133,560
4750,acupuncture,3512000.0,30,10
4751,contour,2221000.0,1420,1757
4752,contact lenses,3962000.0,51,117
4753,golf shoes,4205000.0,27,416
4754,coachella,8230000.0,14107,155
4755,diamond necklace,1380500.0,173,18263
4756,cape,2895000.0,836,4260
4757,pearl earrings,2086000.0,81,9172
4758,blush,2456000.0,3712,10076
4759,bulgari,2275000.0,219,983
4760,lavender,3158000.0,1245,3313
4761,hiking,2881000.0,800,1282
4762,mens dress shirts,1558500.0,4,11182
4763,bikinis,5058000.0,2918,23646
4764,charm bracelet,1309000.0,107,8594
4765,wine decanter,833500.0,2,459
4766,magenta,3378000.0,228,2948
4767,bow tie,2227000.0,189,2174
4768,quartz,2871000.0,816,38285
4769,fur,2018000.0,1206,5958
4770,tennis shoes,2881000.0,131,521
4771,lips,2891000.0,3667,9747
4772,stainless steel,3103000.0,582,35847
4773,suspenders,2533000.0,63,451
4774,maxi dress,7701000.0,1902,16243
4775,trench coat,2900000.0,563,4342
4776,body wash,2302000.0,150,2157
4777,street,2716000.0,10029,5916
4778,thermal underwear,1688000.0,1,58
4779,sterling silver earrings,2045000.0,12,22506
4780,eyeshadow palette,2235000.0,328,577
4781,alpaca,3512000.0,106,3959
4782,western,3512000.0,994,6083
4783,cocktail dress,3855000.0,230,81981
4784,sateen,3807000.0,86,1783
4785,emerald,3335000.0,882,5479
4786,mens hoodies,1382000.0,2,6809
4787,smoothie,5550000.0,2426,104
4788,laptop backpack,3362000.0,33,1152
4789,tea tree oil,4294000.0,40,1075
4790,bonus,3512000.0,799,734
4791,headbands,2938000.0,289,2253
4792,onyx,3661000.0,282,5475
4793,promo,3479000.0,1540,81
4794,chia,5086000.0,493,30
4795,mens rings,2307000.0,2,8457
4796,the little mermaid,3115000.0,83,165
4797,black dress,3468000.0,699,65808
4798,fashion jewelry,2461000.0,163,25074
4799,pumps,4881000.0,1953,47577
4800,gold earrings,2304000.0,132,17591
4801,rosacea,4294000.0,72,258
4802,womens leggings,1452000.0,4,9101
4803,pique,4182000.0,95,2710
4804,fingerless gloves,1550000.0,16,288
4805,argan oil,3512000.0,196,2960
4806,boxer briefs,3115000.0,18,2407
4807,levis jeans,2474000.0,34,569
4808,rockabilly,4309000.0,30,11
4809,messenger bags,3606000.0,7,1294
4810,garmin vivoactive,2091500.0,1,2
4811,weheartit,5386000.0,22,1
4812,flat iron,2680000.0,136,674
4813,flannel,2286000.0,247,2112
4814,swimsuit,4551000.0,2492,56827
4815,skirt,3877000.0,6892,86293
4816,concealer,3048000.0,1172,49617
4817,drivers,3941000.0,1193,1037
4818,lemon,3780000.0,2700,3390
4819,formal dresses,5204000.0,35,717
4820,azure,3780000.0,157,237
4821,cappuccino,3512000.0,142,1115
4822,mens outerwear,2315000.0,4,39835
4823,topaz,3158000.0,177,10623
4824,chevron,5004000.0,436,5500
4825,laptop bags,4135000.0,16,2982
4826,pearl necklace,2623000.0,105,9664
4827,flannel shirt,1463500.0,21,2112
4828,tanks,3180000.0,398,27273
4829,wedding bands,2610000.0,97,3871
4830,maxi,3713000.0,3484,16243
4831,pencil sharpener,2672000.0,11,102
4832,burgundy,2587000.0,493,11702
4833,knee high boots,1953500.0,66,3050
4834,bandana,4822000.0,832,732
4835,tuxedo,3436000.0,470,1671
4836,green tea,4048000.0,300,2898
4837,briefcase,2658000.0,238,1294
4838,contour kit,2136000.0,113,164
4839,sports bra,4145000.0,342,2528
4840,fleece,2587000.0,395,14800
4841,jersey,5850000.0,2071,114462
4842,moccasins,2497000.0,179,3653
4843,camel,4160000.0,687,12463
4844,latina,4558000.0,317,48
4845,teeth whitening,5168000.0,58,472
4846,shabby chic,5996000.0,168,744
4847,mens coats,1570500.0,0,22304
4848,anniversary,4160000.0,2528,1573
4849,jeggings,3311000.0,68,998
4850,tote bag,3661000.0,489,33268
4851,nuts,3142000.0,662,148
4852,kale,5850000.0,880,113
4853,sapphire,4145000.0,969,21800
4854,flip flops,6874000.0,228,3914
4855,duffle bag,3362000.0,48,2670
4856,military,3959000.0,1094,4894
4857,thanksgiving,14366000.0,121,117
4858,suitcase,5186000.0,555,778
4859,fringe,5723000.0,3974,24546
4860,bolero,5168000.0,69,889
4861,navy,4212000.0,3866,71217
4862,hair color,3673000.0,793,8802
4863,maternity,7134000.0,1935,11595
4864,thigh high boots,2294500.0,50,331
4865,combat boots,2859000.0,25,897
4866,style,5796000.0,55225,375384
4867,peach,5273000.0,1727,6608
4868,jet ski,5250000.0,28,28
4869,laptop case,2895000.0,9,1113
4870,pantyhose,4093000.0,17,305
4871,skirts,6019000.0,859,86293
4872,red dress,3186000.0,281,14087
4873,pocket watch,4175000.0,37,155
4874,bvlgari,3594000.0,58,1446
4875,amethyst,3728000.0,256,7822
4876,eyeliner,3810000.0,1522,2081
4877,snow globes,974300.0,3,37
4878,diamond ring,3264000.0,531,29151
4879,contouring,2850000.0,923,1757
4880,mens t shirts,3427000.0,10,78441
4881,summer,7739000.0,31346,16449
4882,platinum,4227000.0,923,4507
4883,thong,3594000.0,371,5890
4884,violet,4080000.0,927,4986
4885,rose gold,2552000.0,1695,31228
4886,hunter rain boots,2236000.0,2,228
4887,plaid,2981000.0,935,16420
4888,camouflage,4509000.0,326,2244
4889,camera bag,3240000.0,31,615
4890,strawberry,5004000.0,1834,732
4891,blanket scarf,1153600.0,38,247
4892,plus size dresses,6542000.0,106,9085
4893,inspiration,3621000.0,16229,41560
4894,look,4658000.0,58848,160394
4895,bedspreads,6869000.0,24,299
4896,trainers,3483000.0,1483,3432
4897,oscar,5756000.0,1444,4424
4898,corset,6269000.0,289,1562
4899,hair straightener,3179000.0,36,766
4900,leather,4758000.0,10972,422011
4901,over the knee boots,2320500.0,86,1610
4902,cufflinks,3910000.0,206,9271
4903,handbag,4144000.0,2255,165412
4904,spring,7965000.0,70797,40588
4905,swimwear,9906000.0,2790,56827
4906,ties,3044000.0,836,16857
4907,tights,4006000.0,1461,1882
4908,crop top,5286000.0,1161,15012
4909,duck boots,1735400.0,4,264
4910,ombre,5950000.0,871,4621
4911,tangerine,4904000.0,210,1529
4912,curling iron,2952000.0,132,915
4913,engagement ring,3788000.0,1004,7634
4914,neon,5850000.0,1270,5130
4915,cowboy boots,4475000.0,64,1049
4916,office shoes,5004000.0,6,1611
4917,grey,7232000.0,4390,101564
4918,mens sweaters,1277000.0,2,31685
4919,espresso,6196000.0,499,10384
4920,iphone 4s case,7935000.0,0,204
4921,tunic,3871000.0,1082,8897
4922,messenger bag,5391000.0,77,1294
4923,hair extensions,6296000.0,216,252
4924,fedora,5750000.0,368,1614
4925,green,5450000.0,8843,82276
4926,studs,1632500.0,653,27172
4927,yellow,5268000.0,3787,38117
4928,beauty blender,4126000.0,59,456
4929,bomber jacket,2933000.0,829,3238
4930,bridesmaid dresses,8984000.0,796,981
4931,pomegranate,3958000.0,242,335
4932,castor oil,4558000.0,37,199
4933,lip balm,3044000.0,322,1634
4934,kimono,8084000.0,815,5972
4935,ear buds,2282000.0,16,25
4936,chelsea boots,3506000.0,121,1772
4937,sweater dress,1967000.0,62,2228
4938,store,5950000.0,14116,10010
4939,ruby,6073000.0,1007,6350
4940,ice watch,3910000.0,6,2571
4941,fragrance,3601000.0,2303,17774
4942,turquoise,5250000.0,1301,15962
4943,mens jackets,2510000.0,3,27368
4944,avocado,6419000.0,2245,1685
4945,iphone 4 case,6242000.0,0,204
4946,cashmere,2867000.0,835,7356
4947,crochet,6219000.0,1636,17015
4948,purple,5127000.0,2465,72692
4949,ipsy,6142000.0,120,0
4950,dollar shave club,5796000.0,9,0
4951,black friday,24640000.0,41,155
4952,jumper,5537000.0,849,2708
4953,high heels,7061000.0,302,15177
4954,shirt,6119000.0,10359,187211
4955,gift,3569000.0,6751,142
4956,cocktail,5491000.0,4011,81981
4957,essence,5973000.0,845,4137
4958,activewear,3679000.0,1056,28984
4959,quilts,12275000.0,70,18382
4960,calvin klein underwear,3431000.0,32,636
4961,sexy lingerie,5696000.0,52,440
4962,wedding dress,8453000.0,2772,870
4963,opal,6319000.0,582,3995
4964,infinity scarf,1914100.0,38,1350
4965,mens shirts,3734000.0,28,187211
4966,silver,6469000.0,4446,85838
4967,coloring book,2279500.0,162,467
4968,deep purple,5596000.0,76,1385
4969,diamond earrings,3526000.0,206,16675
4970,sweatshirts,3894000.0,542,3640
4971,model,6419000.0,10709,101413
4972,bracelet,6319000.0,4317,61678
4973,foundation,5127000.0,3739,4027
4974,mint,6542000.0,2088,8135
4975,flats,5154000.0,1811,45394
4976,fabric,8330000.0,3162,166177
4977,sports watches,4606000.0,6,2644
4978,coat,4719000.0,3868,24682
4979,acne,7211000.0,1151,2476
4980,snow pants,2003800.0,1,107
4981,sweatpants,4182000.0,230,1627
4982,peacock,5896000.0,280,1769
4983,surf,5591000.0,1881,2827
4984,candle,3379000.0,1132,10791
4985,ipad case,4778000.0,29,323
4986,mascara,5496000.0,1871,3026
4987,cute,6442000.0,11006,11835
4988,nice,10866000.0,4140,3436
4989,lipstick,5509000.0,5589,2482
4990,shampoo,7580000.0,1521,7301
4991,mens dress shoes,7634000.0,1,15673
4992,g-star,7634000.0,0,1607
4993,basketball shoes,6196000.0,15,368
4994,like,6783000.0,53415,33060
4995,scrubs,9584000.0,556,1455
4996,mens boots,4745000.0,5,20382
4997,booties,5047000.0,1048,5976
4998,eczema,9053000.0,73,730
4999,hair,7334000.0,25435,34942
5000,shop,8453000.0,48983,18327
5001,jumpsuit,8534000.0,2271,8148
5002,michael kors watch,4823000.0,18,1403
5003,pearl,6815000.0,1820,40659
5004,swag,10335000.0,1169,178
5005,ankle boots,5458000.0,333,25423
5006,heels,9575000.0,5028,214612
5007,sleepwear,3164000.0,117,4425
5008,gowns,3026000.0,1146,19664
5009,leather jacket,5172000.0,1082,10867
5010,cologne,4406000.0,200,819
